"date","Permits","Trend"
"April 2009","4.526","4.672"
"May 2009","5.266","4.853"
"June 2009","5.215","5.035"
"July 2009","4.799","5.219"
"August 2009","5.172","5.397"
"September 2009","5.361","5.552"
"October 2009","6.150","5.673"
"November 2009","6.069","5.759"
"December 2009","6.044","5.825"
"January 2010","5.606","5.893"
"February 2010","5.517","5.985"
"March 2010","6.280","6.101"
"April 2010","6.600","6.204"
"May 2010","6.134","6.258"
"June 2010","6.593","6.236"
"July 2010","6.131","6.157"
"August 2010","5.633","6.048"
"September 2010","6.522","5.933"
"October 2010","6.139","5.831"
"November 2010","5.533","5.759"
"December 2010","5.757","5.743"
"January 2011","5.319","5.798"
"February 2011","5.814","5.931"
"March 2011","6.834","6.121"
"April 2011","5.257","6.304"
"May 2011","6.628","6.428"
"June 2011","6.592","6.459"
"July 2011","6.490","6.425"
"August 2011","6.071","6.357"
"September 2011","5.608","6.288"
"October 2011","6.252","6.241"
"November 2011","6.225","6.228"
"December 2011","6.877","6.256"
"January 2012","5.998","6.324"
"February 2012","6.529","6.437"
"March 2012","6.989","6.591"
"April 2012","6.663","6.751"
"May 2012","6.961","6.882"
"June 2012","7.040","6.948"
"July 2012","6.781","6.955"
"August 2012","7.545","6.895"
"September 2012","6.607","6.773"
"October 2012","7.520","6.599"
"November 2012","6.435","6.406"
"December 2012","5.784","6.251"
"January 2013","5.730","6.188"
"February 2013","5.922","6.253"
"March 2013","6.335","6.445"
"April 2013","6.975","6.697"
"May 2013","7.419","6.934"
"June 2013","6.653","7.090"
"July 2013","8.087","7.156"
"August 2013","6.493","7.131"
"September 2013","6.769","7.030"
"October 2013","7.256","6.870"
"November 2013","6.765","6.677"
"December 2013","6.437","6.481"
"January 2014","6.955","6.309"
"February 2014","6.172","6.189"
"March 2014","5.974","6.133"
"April 2014","6.039","6.117"
