"Period","Ottawa and Gatineau","Kingston","Oshawa","Toronto","St. Catharines-Niagara","Hamilton","Kitchener","Sudbury","London","Windsor","Thunder Bay","Winnipeg","Regina","Saskatoon","Edmonton","Calgary","Abbotsford","Vancouver","Victoria","Saint John","St. John's","Halifax","Montreal","Quebec City","Saguenay","Sherbrooke","Trois-Rivières"
1987.01,33670.23,4382.44,5428.18,151424.20,8798.55,16355.33,11468.80,5987.27,12142.08,7499.22,3953.42,21317.06,6920.55,8105.47,29970.17,46944.46,2209.70,51188.54,8286.28,3215.56,6226.48,10085.33,99277.99,18330.62,3803.30,4406.89,4704.09
1987.02,33946.85,4430.39,5493.04,152237.46,8897.86,16486.47,11625.87,5889.47,12316.89,7567.14,3982.75,21143.10,7060.82,8321.63,30459.81,47559.78,2286.02,52161.03,8416.70,3180.47,6264.39,10350.79,100797.61,18663.25,3859.50,4486.05,4773.30
1987.03,34534.57,4543.76,5639.79,154744.97,9112.89,16840.31,11933.70,6123.18,12628.66,7736.70,4048.21,21167.11,7016.75,8256.24,30935.69,48860.52,2359.94,52823.57,8509.79,3195.50,6446.01,10372.00,102895.68,19088.00,3951.41,4600.17,4846.91
1987.04,35086.80,4637.46,5808.89,157656.74,9327.49,17209.99,12268.59,6153.33,12959.02,7903.73,4124.70,21205.06,6909.32,7833.04,31226.40,50025.70,2400.04,52978.83,8490.08,3332.39,6411.47,10465.88,102865.85,19075.23,3945.34,4591.65,4778.87
1988.01,35299.75,4654.91,5938.48,159413.84,9469.83,17381.40,12485.86,6370.64,13115.44,8021.74,4087.59,20973.79,6662.28,7729.22,31748.94,50908.37,2392.73,53175.22,8541.67,3302.16,6522.05,10222.79,104551.01,19476.41,4023.47,4688.32,4840.61
1988.02,35731.96,4712.79,6031.52,161096.32,9585.11,17563.96,12686.06,6343.99,13328.10,8108.82,4125.85,21262.72,6774.91,7816.00,31959.36,50929.47,2479.17,54545.38,8728.05,3394.86,6609.19,10525.87,105011.77,19603.08,4024.75,4700.17,4824.08
1988.03,35969.32,4753.36,6078.39,161268.97,9646.29,17641.60,12784.11,6378.26,13440.24,8131.49,4139.51,21154.03,6751.56,7684.53,32202.06,51144.87,2514.27,55228.41,8810.97,3364.64,6688.12,10799.35,105144.49,19682.70,4023.40,4708.43,4802.97
1988.04,36139.76,4800.62,6159.84,161937.91,9731.00,17770.94,12924.72,6732.20,13573.56,8184.37,4143.55,21442.31,6747.29,7566.44,32212.02,50110.11,2576.22,56030.41,8933.82,3417.60,6678.15,10745.01,105869.59,19893.99,4063.40,4762.55,4776.96
1989.01,36752.12,4876.35,6271.48,164423.14,9933.12,18041.36,13229.76,6464.74,13887.31,8345.18,4180.55,21276.18,6866.19,7681.21,32627.85,49851.00,2647.46,56907.34,9067.58,3455.68,6743.35,10911.05,106920.36,20042.96,4087.79,4784.60,4762.49
1989.02,36866.98,4896.00,6282.72,164528.70,9927.90,18046.39,13265.33,6838.08,13927.34,8324.21,4187.69,21445.35,6843.06,7521.51,32907.79,50618.50,2662.71,57086.51,9070.46,3433.11,6732.90,10701.19,106284.67,20049.69,4083.50,4777.54,4734.45
1989.03,37147.92,4922.44,6296.42,165167.72,9962.75,18091.83,13367.76,6945.64,14032.61,8335.05,4183.11,21623.29,7013.39,7705.23,32763.71,49744.06,2669.63,57621.72,9112.71,3474.76,6741.84,10552.02,106389.23,20214.32,4090.21,4789.66,4715.84
1989.04,37306.51,4939.72,6344.28,165692.15,10011.07,18137.69,13485.30,6828.43,14140.87,8361.32,4173.55,21719.30,7142.44,7775.71,32741.09,49354.52,2691.47,57858.45,9154.40,3669.20,6728.41,10681.72,107278.96,20425.95,4115.63,4819.94,4800.09
1990.01,37347.35,4977.50,6300.77,164869.05,10003.25,18082.18,13460.52,7416.15,14183.16,8330.70,4176.59,21925.68,7295.78,7919.23,33710.57,49811.11,2763.77,58738.08,9309.15,3476.71,6820.81,10918.10,107941.19,20631.42,4144.29,4845.46,4759.85
1990.02,37064.95,4922.33,6283.39,163010.35,9901.15,17849.36,13372.28,7081.48,14098.98,8258.55,4115.25,21930.86,7341.91,7909.42,33754.26,50248.37,2778.22,58858.33,9331.18,3592.84,6902.03,10937.82,107331.44,20616.13,4127.08,4820.01,4772.29
1990.03,36961.07,4894.74,6244.78,161407.34,9821.81,17626.79,13294.98,6812.88,14051.12,8172.94,4054.11,21914.31,7449.42,8015.53,33813.33,50677.27,2772.92,58944.52,9350.72,3578.42,6905.40,10906.11,106855.22,20677.82,4103.70,4800.99,4748.80
