region,weight,q12013,q42013,q12014,qoq,yoy
Canada,100.00,147.4,147.2,152.8,3.8,3.7
East,44.21,143.7,142.5,146.5,2.8,1.9
West,55.79,150.2,151.0,157.7,4.4,5.0
NFLD,0.23,145.3,146.7,149.8,2.1,3.1
PEI,0.99,136.5,136.1,137.5,1.0,0.7
NS,1.15,141.6,141.2,144.7,2.5,2.2
NB,1.13,144.5,142.6,146.2,2.5,1.2
QU,16.24,139.7,140.4,142.6,1.6,2.1
ON,24.47,146.7,144.2,149.5,3.7,1.9
MB,9.96,149.0,148.5,153.5,3.4,3.0
SK,16.14,162.5,161.7,170.3,5.3,4.8
AB,23.62,145.1,146.6,154.5,5.4,6.5
BC,6.06,139.4,143.1,143.9,0.6,3.2
