Calgary  All Industries,109418
Calgary Business Services,10657
Calgary Construction,9243
Calgary Finance- Insurance and Real Estate,16372
Calgary Goods Producing Industries,50362
Calgary Information and Cultural Industries,3498
Calgary Manufacturing,6687
Calgary Non-Commercial Services,7766
Calgary Personal Services,4338
Calgary Primary and Utilities,34432
Calgary Public Administration and Defence,3226
Calgary Service-Producing Industries,59056
Calgary Transportation and Warehousing,4768
Calgary Wholesale and Retail Trade,8432
Edmonton All Industries,81342
Edmonton Business Services,6079
Edmonton Construction,9850
Edmonton Finance- Insurance and Real Estate,13089
Edmonton Goods Producing Industries,29771
Edmonton Information and Cultural Industries,2159
Edmonton Manufacturing,7202
Edmonton Non-Commercial Services,7937
Edmonton Personal Services,3945
Edmonton Primary and Utilities,12719
Edmonton Public Administration and Defence,5230
Edmonton Service-Producing Industries,51570
Edmonton Transportation and Warehousing,3735
Edmonton Wholesale and Retail Trade,9397
Edmonton All Industries,283792
Alberta Business Services,20562
Alberta Construction,28031
Alberta Finance- Insurance and Real Estate,40926
Alberta Goods Producing Industries,132153
Alberta Information and Cultural Industries,7019
Alberta Manufacturing,18509
Alberta Non-Commercial Services,22704
Alberta Personal Services,12100
Alberta Primary and Utilities,85613
Alberta Public Administration and Defence,11798
Alberta Service-Producing Industries,151639
Alberta Transportation and Warehousing,11199
Alberta Wholesale and Retail Trade,25331
Abbotsford All Industries,5645
Abbotsford Business Services,309
Abbotsford Construction,500
Abbotsford Finance- Insurance and Real Estate,1290
Abbotsford Goods Producing Industries,1424
Abbotsford Information and Cultural Industries,93
Abbotsford Manufacturing,575
Abbotsford Non-Commercial Services,796
Abbotsford Personal Services,388
Abbotsford Primary and Utilities,349
Abbotsford Public Administration and Defence,410
Abbotsford Service-Producing Industries,4221
Abbotsford Transportation and Warehousing,336
Abbotsford Wholesale and Retail Trade,598
Vancouver All Industries,111606
Vancouver Business Services,9783
Vancouver Construction,8278
Vancouver Finance- Insurance and Real Estate,29451
Vancouver Goods Producing Industries,23058
Vancouver Information and Cultural Industries,5289
Vancouver Manufacturing,8061
Vancouver Non-Commercial Services,13083
Vancouver Personal Services,6153
Vancouver Primary and Utilities,6718
Vancouver Public Administration and Defence,5748
Vancouver Service-Producing Industries,88548
Vancouver Transportation and Warehousing,6986
Vancouver Wholesale and Retail Trade,12055
Victoria All Industries,14985
Victoria Business Services,1419
Victoria Construction,936
Victoria Finance- Insurance and Real Estate,3688
Victoria Goods Producing Industries,2009
Victoria Information and Cultural Industries,384
Victoria Manufacturing,579
Victoria Non-Commercial Services,2377
Victoria Personal Services,964
Victoria Primary and Utilities,494
Victoria Public Administration and Defence,2302
Victoria Service-Producing Industries,12976
Victoria Transportation and Warehousing,524
Victoria Wholesale and Retail Trade,1317
British Columbia All Industries,194506
British Columbia Business Services,15006
British Columbia Construction,15188
British Columbia Finance- Insurance and Real Estate,46631
British Columbia Goods Producing Industries,47957
British Columbia Information and Cultural Industries,7062
British Columbia Manufacturing,13896
British Columbia Non-Commercial Services,23983
British Columbia Personal Services,11391
British Columbia Primary and Utilities,18873
British Columbia Public Administration and Defence,12045
British Columbia Service-Producing Industries,146549
British Columbia Transportation and Warehousing,10611
British Columbia Wholesale and Retail Trade,19820
Winnipeg All Industries,33693
Winnipeg Business Services,1888
Winnipeg Construction,2571
Winnipeg Finance- Insurance and Real Estate,6722
Winnipeg Goods Producing Industries,7606
Winnipeg Information and Cultural Industries,1393
Winnipeg Manufacturing,3437
Winnipeg Non-Commercial Services,4598
Winnipeg Personal Services,1585
Winnipeg Primary and Utilities,1598
Winnipeg Public Administration and Defence,3279
Winnipeg Service-Producing Industries,26087
Winnipeg Transportation and Warehousing,2572
Winnipeg Wholesale and Retail Trade,4051
Manitoba All Industries,51335
Manitoba Business Services,2341
Manitoba Construction,3691
Manitoba Finance- Insurance and Real Estate,9273
Manitoba Goods Producing Industries,15445
Manitoba Information and Cultural Industries,1643
Manitoba Manufacturing,5156
Manitoba Non-Commercial Services,6948
Manitoba Personal Services,2199
Manitoba Primary and Utilities,6598
Manitoba Public Administration and Defence,4435
Manitoba Service-Producing Industries,35890
Manitoba Transportation and Warehousing,3209
Manitoba Wholesale and Retail Trade,5841
Saint John All Industries,5122
Saint John Business Services,516
Saint John Construction,345
Saint John Finance- Insurance and Real Estate,902
Saint John Goods Producing Industries,1326
Saint John Information and Cultural Industries,210
Saint John Manufacturing,493
Saint John Non-Commercial Services,732
Saint John Personal Services,224
Saint John Primary and Utilities,488
Saint John Public Administration and Defence,381
Saint John Service-Producing Industries,3796
Saint John Transportation and Warehousing,220
Saint John Wholesale and Retail Trade,610
New Brunswick All Industries,26147
New Brunswick Business Services,1766
New Brunswick Construction,1464
New Brunswick Finance- Insurance and Real Estate,4763
New Brunswick Goods Producing Industries,6322
New Brunswick Information and Cultural Industries,816
