date,inventory,ISratio
June 09,61.725,1.57
July 09,60.521,1.46
Aug 09,60.397,1.49
Sept 09,58.941,1.43
Oct 09,58.944,1.43
Nov 09,59.138,1.42
Dec 09,58.634,1.38
Jan 10,58.184,1.36
Feb 10,58.486,1.36
Mar 10,57.939,1.33
Apr 10,57.909,1.32
May 10,57.467,1.29
June 10,58.034,1.30
July 10,58.316,1.33
Aug 10,59.261,1.34
Sept 10,59.173,1.33
Oct 10,59.221,1.32
Nov 10,60.030,1.35
Dec 10,60.469,1.33
Jan 11,60.347,1.29
Feb 11,60.715,1.32
Mar 11,62.040,1.33
Apr 11,62.995,1.36
May 11,63.665,1.39
June 11,64.258,1.41
July 11,64.316,1.36
Aug 11,64.744,1.36
Sept 11,64.942,1.33
Oct 11,65.667,1.35
Nov 11,65.779,1.33
Dec 11,65.591,1.30
Jan 12,65.666,1.32
Feb 12,65.569,1.36
Mar 12,65.247,1.32
Apr 12,66.191,1.34
May 12,66.953,1.34
June 12,66.164,1.33
July 12,66.386,1.36
Aug 12,66.710,1.36
Sept 12,66.421,1.36
Oct 12,67.150,1.39
Nov 12,66.730,1.36
Dec 12,66.003,1.36
Jan 13,67.198,1.38
Feb 13,67.114,1.36
Mar 13,68.381,1.39
Apr 13,68.873,1.43
May 13,68.547,1.41
June 13,68.542,1.41
July 13,68.798,1.39
Aug 13,68.581,1.40
Sept 13,68.331,1.38
Oct 13,69.264,1.39
Nov 13,69.134,1.38
Dec 13,68.919,1.38
Jan 14,70.895,1.42
Feb 14,71.504,1.41
Mar 14,71.619,1.41
Apr 14,72.215,1.42
May 14,71.851,1.39
June 14,72.225,1.39
