GDP Basic Prices,All Industries ,Goods Producing Industries ,Service-Producing Industries ,Manufacturing ,Construction ,Transportation and Warehousing ,Wholesale and Retail Trade ,Finance- Insurance and Real Estate ,Information and Cultural Industries ,Other Services - All,Business Services ,"Education, Health Care, Agriculture, other Primary Industries"
1987.01,16355.3,6137.4,10218.0,4496.9,1171.7,389.4,1513.2,2523.0,178.8,5273.3,809.0,4464.3
1987.02,16486.5,6206.4,10280.1,4517.3,1222.7,409.8,1532.9,2546.0,183.6,5284.2,789.9,4494.3
1987.03,16840.3,6461.8,10378.5,4638.5,1303.6,415.4,1524.4,2573.8,189.9,5399.3,795.5,4603.8
1987.04,17210.0,6676.5,10533.5,4799.6,1336.6,428.2,1550.6,2612.6,194.4,5473.6,814.3,4659.3
1988.01,17381.4,6838.0,10543.4,4974.6,1344.6,448.3,1569.1,2611.8,199.8,5386.3,847.0,4539.3
1988.02,17564.0,6892.2,10671.8,5024.6,1326.0,447.6,1600.3,2661.7,203.3,5424.2,876.2,4548.0
1988.03,17641.6,6946.8,10694.8,5009.7,1385.3,450.1,1606.3,2672.1,207.8,5440.0,870.3,4569.7
1988.04,17770.9,7039.6,10731.4,5054.6,1401.7,451.9,1626.5,2685.5,211.9,5486.1,852.8,4633.3
1989.01,18041.4,7115.5,10925.8,5110.8,1463.9,469.9,1694.2,2731.9,225.9,5499.9,844.8,4655.1
1989.02,18046.4,7091.7,10954.7,5075.2,1440.9,472.1,1676.8,2755.8,229.6,5516.5,879.4,4637.1
1989.03,18091.8,7084.5,11007.3,5029.4,1505.6,483.6,1672.4,2788.9,234.6,5476.1,901.3,4574.8
1989.04,18137.7,7082.5,11055.2,5034.0,1542.8,481.9,1650.5,2825.9,239.2,5447.8,915.6,4532.2
1990.01,18082.2,6961.6,11120.6,4849.6,1523.8,487.6,1689.8,2827.9,250.8,5569.5,883.2,4686.3
1990.02,17849.4,6748.1,11101.2,4811.3,1396.0,505.8,1631.7,2839.1,255.6,5534.1,876.0,4658.1
1990.03,17626.8,6541.0,11085.8,4666.7,1374.5,497.6,1593.4,2859.1,260.3,5503.4,871.7,4631.7
1990.04,17258.0,6178.0,11080.0,4429.6,1275.9,489.9,1575.5,2879.9,263.4,5479.5,864.2,4615.3
1991.01,16895.7,5948.6,10947.1,4139.4,1262.8,442.3,1504.9,2907.6,259.9,5523.8,855.1,4668.7
1991.02,17079.5,5984.4,11095.1,4175.0,1270.4,461.2,1581.7,2943.2,267.3,5528.4,852.3,4676.1
